rating_total,rating_avg,finalist,movie_description,cast,language,style,country,company,film_location
"1,005",8.2,The Red Skelton Hour (TV Series 1951–2016) - IMDb,"
                    Long-running weekly show that spotlighted legendary comedian and beloved television clown, Red Skelton. Each show featured comedy skits, gags, and vignettes starring Skelton and guest performers.
            "," Red Skelton
, David Rose and His Orchestra
, Art Gilmore
",English,"[' Comedy', ' ', None, None, None]",English, CBS Television Network,
6,6.2,An Hour with Danny Kaye (1960) - IMDb,"
                    "," Danny Kaye
, Louis Armstrong
",English,"[' Comedy', ' ', None, None, None]",English,IMDbPro,
859,7.2,The Danny Thomas Show (TV Series 1953–1965) - IMDb,"
                    Danny Williams, a successful nightclub singer, encounters a variety of difficult or amusing situations in trying to balance his career with his family: his outspoken second wife Kathy, ...
                    "," Danny Thomas
, Rusty Hamer
, Marjorie Lord
, Angela Cartwright
",English,"[' Comedy', ' ', None, None, None]",English, Marterto Productions,
92,6.9,The Garry Moore Show (TV Series 1958–1967) - IMDb,"
                    Variety show hosted by Garry Moore with famous guests.
            "," Garry Moore
, Durward Kirby
, Marion Lorne
, Carol Burnett
",English,"[' Comedy', ' ', None, None, None]",English, Red Wing Productions,
170,8.1,Hennesey (TV Series 1959–1962) - IMDb,"
                    United States Navy physician, Lt. Charles W. ""Chick"" Hennesey and Navy nurse Lt. Martha Hale are assigned to the hospital at the U.S. Naval Station in San Diego, California.
            "," Jackie Cooper
, Abby Dalton
, Roscoe Karns
, Henry Kulky
",English,"[' Comedy', ' ', None, None, None]",English, Hennesey Productions,
42,7.0,The DuPont Show of the Month (TV Series 1957–1961) - IMDb,"
                    The award winning bing play of Mary Chase came to television in 1958. It tells the story of Elwood P. Dowd (Art Carney), a personable chap who drinks a little, and befriends a ""pookah"", a ...
                    "," Tim O'Connor
, James Valentine
, Hurd Hatfield
, John Colicos
, Max Adrian
, Douglas Campbell
, Rosemary Harris
, James Donald
, Denholm Elliott
, Arthur Malet
, Tom Clancy
, Farley Granger
, Fritz Weaver
, Lee J. Cobb
, Dina Merrill
, Barry Morse
, Siobhan McKenna
, Colleen Dewhurst
, Barry Jones
, Liam Redmond
, John Williams
, Diana Van der Vlis
, Thayer David
, Roy Fant
, George Rose
, Patty Duke
, Christopher Plummer
, Robert Goodier
, Russell Collins
, John Milligan
, Torin Thatcher
, Rex Thompson
, Ruth White
, Francis Compton
, Fredric March
, Don Murray
, Eric Portman
, Alfred Ryder
, Fred Gwynne
, Roberts Blossom
, Mark Lenard
, Rex O'Malley
, James Patterson
, Jo Van Fleet
, Nancy Wickwire
, Eric Berry
, Leonardo Cimino
, Lucy Landau
, Robert Morley
, Malachi Throne
, Robert Gerringer
, Florence Stanley
, Julie Harris
",English,"['John Wayne Peel', ' Drama', None, None, None]",English, CBS,
230,7.6,Checkmate (TV Series 1960–1962) - IMDb,"
                    Don Corey and Jed Sills operate Checkmate, Inc., a very high priced detective agency in San Francisco. Helping them protect the lives of their clients is British criminologist (once an Oxford professor) Carl Hyatt.
            "," Anthony George
, Doug McClure
, Sebastian Cabot
",English,"[' Crime', ' Drama', ' Mystery', None, None]",English, Jamco Productions,
,,Chun King Chow Mein Hour (1962) - IMDb,"
                    Stan Freberg satirizes contemporary television, particularly commercials.
            "," Stan Freberg
, June Foray
, Sterling Holloway
, Arte Johnson
, Peter Leeds
, Mike Mazurki
, Frances Osborne
, Patty Regan
, Frank Sinatra
, Ginny Tiu
, Gloria Wood
",English,"[' Comedy', ' ', None, None, None]",English,IMDbPro,
197,8.3,The Tonight Show Starring Jack Parr (TV Series 1957–1962) - IMDb,"
                    "," Hugh Downs
, Jose Melis
, Jack Paar
",English,"[' Comedy', ' ', ' Talk-Show', None, None]",English, National Broadcasting Company (NBC),
5,7.8,Directions (TV Series 1960–1984) - IMDb,"
                    "," Elaine Bonazzi
, Marian Seldes
, The American Broadcasting Company Symphony Orchestra
, Ramon Bieri
, Theodore Bikel
, Joseph Sopher
, John Macurdy
",English,"[' Drama', ' Family', None, None, None]",English, American Broadcasting Company (ABC),
47,6.8,The Sid Caesar Show (1958) - IMDb,"
                    "," Sid Caesar
, Jeanne Bal
, Art Carney
, Imogene Coca
, The Kirby Stone Four
, Shirley MacLaine
, Cliff Norton
, Carl Reiner
, Jo Stafford
",English,"[' Comedy', ' ', None, None, None]",English, National Broadcasting Company (NBC),
10,7.3,Bold Journey (TV Series 1956–1959) - IMDb,"
                    Before CNN, cam-corders, and communications satellites, the only way to view exotic locales was on real film that might take weeks or months to arrive from the far corners of the world. The...
                    "," Jack Douglas
",English,"[' Adventure', ' ', None, None, None]",English, American Broadcasting Company (ABC), American Broadcasting Company (ABC)
205,7.5,This Is Your Life (TV Series 1950–1987) - IMDb,"
                    Each week, an unsuspecting celebrity would be lured by some ruse to a location near the studio. The celebrity would then be surprised with the news that they are to be the featured guest. ...
                    "," Ralph Edwards
",English,"[' Biography', ' ', ' Reality-TV', None, None]",English, Ralph Edwards Productions,
6,7.2,Keep Talking (TV Series 1958–1960) - IMDb,"
                    The regulars were divided into two teams of three players. The host would give each player a secret word and the player had to tell a story using that word. The other team then had to guess the secret word.
            "," Danny Dayton
, Paul Winchell
, Joey Bishop
, Ilka Chase
, Morey Amsterdam
, Pat Carroll
, Carl Reiner
, Monty Hall
",English,"[' Family', ' ', None, None, None]",English, Wolf Productions,
"3,129",8.3,The Rifleman (TV Series 1958–1963) - IMDb,"
                    The adventures of a Wild West rancher, wielding a customized rapid-fire Winchester rifle, and his son.
            "," Chuck Connors
, Johnny Crawford
, Paul Fix
",USA,"[' Family', ' ', None, None, None]",USA, Four Star Productions,"Fox Western Studio, Hollywood, California, USA"
202,7.2,The Price Is Right (TV Series 1956–1965) - IMDb,"
                    The original version of an American icon, ""The Price is Right"" rewarded contestants with valuable prizes for their ability to price items.
            "," Don Pardo
, Bill Cullen
",English,"[' Family', ' ', None, None, None]",English, Mark Goodson-Bill Todman Productions,
17,7.3,The Legend of Robin Hood (TV Series 1968– ) - IMDb,"
                    Musical version of Robin Hood and his band of Merry Men. Songs by Sammy Cahn and James Van Heusen include, ""Out in the Open Air"", ""Prithee Please"", ""A Happy Happenstance"", ""Ever So Softly"",...
                    "," Leigh Beery
, Bill Egan
, Douglas Fairbanks Jr.
, Steve Forrest
, Noel Harrison
, Harvey Jason
, Arte Johnson
, Roddy McDowall
, Walter Slezak
, Gil Stuart
, David Watson
, Bruce Yarnell
",English,"[' Action', ' ', ' Musical', None, None]",English,IMDbPro,
"1,082",7.6,"He's Your Dog, Charlie Brown (TV Short 1968) - IMDb","
                    When Snoopy is sent back to the puppy farm for obedience training, he free-loads at Peppermint Patty's instead.
            "," Peter Robbins
, Gabrielle DeFaria Ritter
, Christopher Shea
, Sally Dryer
, Bill Melendez
",USA,"[' Animation', ' Short', ' Comedy', ' Family', None]",USA, Lee Mendelson Film Productions,
"1,132",7.6,"You're in Love, Charlie Brown (TV Short 1967) - IMDb","
                    With the help of Linus and Peppermint Patty, Charlie Brown tries to pluck up the courage to talk to his crush, the Little Red-Haired Girl.
            "," Peter Robbins
, Christopher Shea
, Sally Dryer
, Cathy Steinberg
, Gabrielle DeFaria Ritter
, Ann Altieri
",USA," Animation, , Comedy, Family, Romance",USA, Lee Mendelson Film Productions,
252,7.4,Ironside (TV Movie 1967) - IMDb,"
                    Citizens of San Francisco are stunned by the news that Robert Ironside, the city's hard-nosed, tough-talking chief of detectives, has been shot and left for dead while vacationing at his ...
                    "," Raymond Burr
, Geraldine Brooks
, Wally Cox
, Kim Darby
, David Sheiner
, Lilia Skala
, Gene Lyons
, Don Galloway
, Barbara Anderson
, Don Mitchell
, Joel Fabiani
, Ayllene Gibbons
, Terrence O'Flaherty
, Eddie Firestone
, Tony Dante
",English,"[' Crime', ' ', None, None, None]",English, Harbour Productions Unlimited,
141,7.8,Movin' with Nancy (1967) - IMDb,"
                    Billed as the ""full-hour musical spectacular that won Nancy Sinatra the coveted Hollywood Star of Tomorrow award,"" this 1967 NBC-TV special, sponsored by Royal Crown Cola, is hosted by ...
                    "," Nancy Sinatra
, Dean Martin
, Lee Hazlewood
, David Winters
, Sammy Davis Jr.
, Frank Sinatra Jr.
, Frank Sinatra
, Art Linkletter
",English,"[' Music', ' ', None, None, None]",English, Boots Enterprises,
