award_title,years,finalist,winner,groups
,2020 Awards,Tyler Perry,Winner,
Outstanding Drama Series,2020 Awards,Succession,Winner,"Jesse Armstrong, (executive producer),, ,Adam McKay, (executive producer),, ,Will Ferrell, (executive producer),, ,Frank Rich, (executive producer),, ,Kevin J. Messick, (executive producer),, ,Mark Mylod, (executive producer),, ,Jane Tranter, (executive producer),, ,Tony Roche, (executive producer),, ,Scott Ferguson, (executive producer),, ,Jon Brown, (co-executive producer),, ,Georgia Pritchett, (co-executive producer),, ,Jonathan Glatzer, (supervising producer),, ,Will Tracy, (producer),, ,Dara Schnapper, (producer),, ,Gabrielle Mahon, (producer),, ,Lucy Prebble, (consulting producer)"
Outstanding Drama Series,2020 Awards,Better Call Saul,,"Peter Gould, (executive producer),, ,Vince Gilligan, (executive producer),, ,Mark Johnson, (executive producer),, ,Thomas Schnauz, (executive producer),, ,Diane Mercer, (co-executive producer),, ,Gordon Smith, (co-executive producer),, ,Alison Tatlock, (co-executive producer),, ,Ann Cherkis, (supervising producer),, ,Bob Odenkirk, (producer),, ,Princess O'Mahoney, (produced by),, ,Melissa Bernstein, (executive producer)"
Outstanding Drama Series,2020 Awards,Killing Eve,,"Sally Woodward Gentle, (executive producer),, ,Lee Morris, (executive producer),, ,Phoebe Waller-Bridge, (executive producer),, ,Gina Mingacci, (executive producer),, ,Sandra Oh, (executive producer),, ,Damon Thomas, (executive producer),, ,Suzanne Heathcote, (executive producer),, ,Jeff Melvoin, (executive producer),, ,Lynn Horsford, (co-executive producer),, ,Nige Watson, (produced by)"
Outstanding Drama Series,2020 Awards,Ozark,,"Jason Bateman, (executive producer),, ,Chris Mundy, (executive producer),, ,Bill Dubuque, (executive producer),, ,Mark Williams, (executive producer),, ,John Shiban, (executive producer),, ,Miki Johnson, (supervising producer),, ,Erin Mitchell, (producer),, ,Martin Zimmerman, (producer),, ,Patrick Markey, (producer),, ,Peter Thorell, (producer),, ,Matthew Spiegel, (produced by)"
Outstanding Drama Series,2020 Awards,Stranger Things,,"Iain Paterson, (executive producer),, ,Shawn Levy, (executive producer),, ,Dan Cohen, (executive producer),, ,Matt Duffer, (executive producer),, ,Ross Duffer, (executive producer),, ,Curtis Gwinn, (co-executive producer),, ,Rand Geiger, (producer)"
Outstanding Drama Series,2020 Awards,The Crown,,"Peter Morgan, (executive producer),, ,Suzanne Mackie, (executive producer),, ,Stephen Daldry, (executive producer),, ,Andy Harries, (executive producer),, ,Benjamin Caron, (executive producer),, ,Matthew Byam Shaw, (executive producer),, ,Robert Fox, (executive producer),, ,Michael Casey, (producer),, ,Andy Stebbing, (producer),, ,Martin Harrison, (producer),, ,Oona O'Beirn, (producer)"
Outstanding Drama Series,2020 Awards,The Handmaid's Tale,,"Bruce Miller, (executive producer),, ,Warren Littlefield, (executive producer),, ,Elisabeth Moss, (executive producer),, ,Daniel Wilson, (executive producer),, ,Fran Sears, (executive producer),, ,Mike Barker, (executive producer),, ,Eric Tuchman, (executive producer),, ,Sheila Hockin, (executive producer),, ,John Weber, (executive producer),, ,Frank Siracusa, (executive producer),, ,Kira Snyder, (co-executive producer),, ,Yahlin Chang, (co-executive producer),, ,Margaret Atwood, (co-executive producer),, ,Dorothy Fortenberry, (supervising producer),, ,Marissa Jo Cerar, (supervising producer),, ,Nina Fiore, (producer),, ,John Herrera, (producer),, ,Kim Todd, (produced by)"
Outstanding Drama Series,2020 Awards,The Mandalorian,,"Jon Favreau, (executive producer),, ,Dave Filoni, (executive producer),, ,Kathleen Kennedy, (executive producer),, ,Colin Wilson, (executive producer),, ,Karen Gilchrist, (co-executive producer)"
Outstanding Comedy Series,2020 Awards,Schitt's Creek,Winner,"Eugene Levy, (executive producer),, ,Dan Levy, (executive producer),, ,Andrew Barnsley, (executive producer),, ,Fred Levy, (executive producer),, ,David West Read, (executive producer),, ,Ben Feigin, (executive producer),, ,Michael Short, (co-executive producer),, ,Kurt Smeaton, (co-executive producer),, ,Kosta Orfanidis, (producer)"
