finalist,year,winner_Nominee,item_award,award_description
William Jackson Harper,2020,Nominee,Primetime Emmy,Outstanding Supporting Actor in a Comedy Series
D'Arcy Carden,2020,Nominee,Primetime Emmy,Outstanding Supporting Actress in a Comedy Series
D'Arcy Carden,2020,Nominee,Critics Choice Award,Best Supporting Actress in a Comedy Series
D'Arcy Carden,2020,Nominee,Gold Derby TV Award,Comedy Supporting Actress
William Jackson Harper,2020,Nominee,Critics Choice Award,Best Supporting Actor in a Comedy Series
William Jackson Harper,2020,Nominee,CinEuphoria,Best Ensemble - International Competition
William Jackson Harper,2020,Nominee,Gold Derby TV Award,Comedy Supporting Actor
William Jackson Harper,2020,Nominee,OFTA Television Award,Best Supporting Actor in a Comedy Series
D'Arcy Carden,2020,Winner,OFTA Television Award,Best Supporting Actress in a Comedy Series
D'Arcy Carden,2020,Nominee,Actor,Outstanding Performance by an Ensemble in a Comedy Series
Alex Borstein,2019,Nominee,Golden Globe,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television"
Alex Borstein,2020,Nominee,Primetime Emmy,Outstanding Supporting Actress in a Comedy Series
Alex Borstein,2020,Winner,Critics Choice Award,Best Supporting Actress in a Comedy Series
Alex Borstein,2006,Winner,DVDX Award,Best Screenplay (for a DVD Premiere Movie)
Alex Borstein,2020,Nominee,Gold Derby TV Award,Comedy Supporting Actress
Alex Borstein,2020,Nominee,OFTA Television Award,Best Supporting Actress in a Comedy Series
Alex Borstein,2019,Nominee,Satellite Award,"Best Actress in a Supporting Role in a Series, Miniseries & Limited Series or a Motion Picture Made for Television"
Alex Borstein,2020,Winner,Actor,Outstanding Performance by an Ensemble in a Comedy Series
Annie Murphy,2020,Winner,Primetime Emmy,Outstanding Supporting Actress in a Comedy Series
Annie Murphy,2020,Nominee,Critics Choice Award,Best Supporting Actress in a Comedy Series
Annie Murphy,2020,Nominee,Canadian Screen Award,"Best Lead Actress, Comedy"
Annie Murphy,2020,Winner,Dorian TV Award,Best Supporting TV Performance - Actress
Annie Murphy,2020,Winner,Gold Derby TV Award,Comedy Supporting Actress
Annie Murphy,2019,Winner,Gracie,Actress in a Breakthrough Role
Annie Murphy,2019,Nominee,IGN Award,Best TV Ensemble
Annie Murphy,2020,Nominee,OFTA Television Award,Best Supporting Actress in a Comedy Series
Annie Murphy,2020,Nominee,Actor,Outstanding Performance by an Ensemble in a Comedy Series
Tyler Perry,2020,Winner,Governor's Award,
Tyler Perry,2009,Winner,Movies for Grownups Award,Best Buddy Picture
Tyler Perry,2014,Nominee,Hollywood Award,Artist of the Year
Tyler Perry,2014,Winner,AAFCA Award,Best Supporting Actor
Tyler Perry,2009,Nominee,EDA Award,Best Picture
Tyler Perry,2019,Winner,BET Award,Ultimate Icon
Tyler Perry,2005,Winner,BET Comedy Award,Outstanding Lead Actor in a Theatrical Film
Tyler Perry,2013,Winner,Pioneer Award,
Tyler Perry,2006,Nominee,Black Movie Award,Outstanding Achievement in Screenwriting
Tyler Perry,2015,Nominee,Black Reel,"Outstanding Supporting Actor, Motion Picture"
Tyler Perry,2009,Winner,BSFC Award,Best Ensemble Cast
Tyler Perry,2015,Nominee,COFCA Award,Best Ensemble
Tyler Perry,2011,Winner,CinemaCon Award,Visionary Award
Cecily Strong,2020,Nominee,Primetime Emmy,Outstanding Supporting Actress in a Comedy Series
Cecily Strong,2020,Nominee,OFTA Television Award,Best Female Performance in a Variety Program
Tyler Perry,2015,Nominee,GAFCA Award,Best Ensemble
Tyler Perry,2015,Nominee,Gold Derby Award,Ensemble Cast
Tyler Perry,2020,Nominee,Entertainer of the Year Award,
Tyler Perry,2014,Nominee,ICP Award,Best Supporting Actor
Tyler Perry,2010,Nominee,Blimp Award,Favorite Movie Actor
Tyler Perry,2017,Nominee,Grace Award,Most Inspiring Performance in Movies
Tyler Perry,2006,Nominee,MTV Movie Award,Best Comedic Performance
Tyler Perry,2020,Nominee,Razzie Award,Worst Supporting Actor
Tyler Perry,2005,Winner,Stinker Award,Worst Supporting Actor
Tyler Perry,2014,Nominee,VVFP Award,Best Supporting Actor
Tyler Perry,2019,Winner,Star on the Walk of Fame,Motion Picture
Betty Gilpin,2020,Nominee,Primetime Emmy,Outstanding Supporting Actress in a Comedy Series
Betty Gilpin,2020,Nominee,Critics Choice Award,Best Supporting Actress in a Comedy Series
Betty Gilpin,2020,Nominee,Gold Derby TV Award,Comedy Supporting Actress
Betty Gilpin,2020,Nominee,OFTA Television Award,Best Supporting Actress in a Comedy Series
Betty Gilpin,2019,Nominee,Actor,Outstanding Performance by an Ensemble in a Comedy Series
Kate McKinnon,2020,Nominee,Primetime Emmy,Outstanding Supporting Actress in a Comedy Series
Kate McKinnon,2017,Nominee,Saturn Award,Best Supporting Actress
Kate McKinnon,2014,Winner,American Comedy Award,Best Comedy Supporting Actress - TV
Kate McKinnon,2012,Winner,Special Mention,Special Jury Mention for Acting Ensemble: Feature
Kate McKinnon,2014,Nominee,BTVA Special/DVD Voice Acting Award,Best Vocal Ensemble in a TV Special/Direct-to-DVD Title or Short
Kate McKinnon,2016,Nominee,Critics Choice Award,Best Actress in a Comedy
Kate McKinnon,2018,Winner,CinemaCon Award,Comedy Star of the Year
Kate McKinnon,2016,Winner,Critics' Choice TV Award,Best Actress in a Comedy Series
Kate McKinnon,2017,Nominee,Daytime Emmy,Outstanding Performer in an Animated Program
Kate McKinnon,2019,Nominee,Dorian Award,Wilde Wit of the Year
Kate McKinnon,2020,Nominee,Gold Derby TV Award,Comedy Supporting Actress
Kate McKinnon,2016,Nominee,ICP Award,Best Supporting Actress
Kate McKinnon,2017,Nominee,Blimp Award,#SQUAD
Kate McKinnon,2018,Nominee,Legacy Award,Best Political Comedy Artist Or Group
Kate McKinnon,2018,Nominee,MTV Movie + TV Award,Best Comedic Performance
Kate McKinnon,2020,Winner,OFTA Television Award,Best Female Performance in a Variety Program
Kate McKinnon,2017,Nominee,People's Choice Award,Favorite Comedic Collaboration
Kate McKinnon,2016,Nominee,SDFCS Award,Best Comedic Performance
Kate McKinnon,2020,Nominee,Actor,Outstanding Performance by a Cast in a Motion Picture
Kate McKinnon,2017,Nominee,Seattle Film Critics Award,Best Supporting Actress
Kate McKinnon,2020,Winner,Queerty,Film Performance
Kate McKinnon,2016,Nominee,VVFP Award,Best Supporting Actress
Kate McKinnon,2016,Winner,WFCC Award,Best Comedic Actress
Andre Braugher,2007,Nominee,Golden Globe,Best Performance by an Actor in a Miniseries or a Motion Picture Made for Television
Andre Braugher,2020,Nominee,Primetime Emmy,Outstanding Supporting Actor in a Comedy Series
Andre Braugher,2007,Winner,Black Reel,Network/Cable - Best Actor
Andre Braugher,2020,Nominee,Black Reel,"Outstanding Actor, TV Movie/Limited Series"
Andre Braugher,2001,Winner,Blockbuster Entertainment Award,Favorite Supporting Actor - Suspense
Andre Braugher,2020,Nominee,Critics Choice Award,Best Supporting Actor in a Comedy Series
Andre Braugher,1996,Nominee,CableACE,Supporting Actor in a Movie or Miniseries
Andre Braugher,2016,Winner,Critics' Choice TV Award,Best Supporting Actor in a Comedy Series
Andre Braugher,2020,Nominee,Gold Derby TV Award,Comedy Supporting Actor
Andre Braugher,2019,Nominee,IGN Award,Best TV Ensemble
Andre Braugher,2020,Nominee,Image Award,Outstanding Supporting Actor in a Comedy Series
Andre Braugher,2012,Winner,Vision Award,Best Performance - Drama
Andre Braugher,2020,Nominee,OFTA Television Award,Best Supporting Actor in a Comedy Series
Andre Braugher,2017,Nominee,Satellite Award,"Best Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television"
Andre Braugher,2015,Nominee,Actor,Outstanding Performance by an Ensemble in a Comedy Series
Andre Braugher,1998,Winner,TCA Award,Individual Achievement in Drama
Andre Braugher,1998,Nominee,Q Award,Best Actor in a Quality Drama Series
Mahershala Ali,2019,Winner,Oscar,Best Performance by an Actor in a Supporting Role
Mahershala Ali,2019,Winner,Golden Globe,Best Performance by an Actor in a Supporting Role in a Motion Picture
Mahershala Ali,2020,Winner,Primetime Emmy,Outstanding Children's Program
Mahershala Ali,2019,Winner,BAFTA Film Award,Best Supporting Actor
Mahershala Ali,2019,Winner,AACTA International Award,Best Supporting Actor
Mahershala Ali,2016,Winner,AAFCA Award,Best Supporting Actor
Mahershala Ali,2019,Nominee,EDA Award,Best Supporting Actor
Mahershala Ali,2016,Winner,AFCA Award,Best Supporting Actor
Mahershala Ali,2019,Nominee,ACCA,Best Actor in a Supporting Role
Mahershala Ali,2019,Nominee,BET Award,Best Actor
Mahershala Ali,2018,Winner,BFCC Award,Best Supporting Actor
Mahershala Ali,2019,Nominee,Black Reel,Outstanding Supporting Actor
Mahershala Ali,2020,Nominee,Black Reel,"Outstanding Supporting Actor, Comedy Series"
Mahershala Ali,2016,Winner,BOFCA Award,Best Supporting Actor
Mahershala Ali,2016,Winner,BSFC Award,Best Supporting Actor
Mahershala Ali,2020,Nominee,Critics Choice Award,Best Actor in a Limited Series or Movie Made for Television
Mahershala Ali,2017,Winner,COFCA Award,Best Supporting Actor
Mahershala Ali,2018,Nominee,CFCA Award,Best Supporting Actor
Mahershala Ali,2019,Nominee,CIFCC Award,Best Supporting Actor
Mahershala Ali,2017,Winner,Chlotrudis Award,Best Supporting Actor
Mahershala Ali,2020,Nominee,CinEuphoria,Best Duo - International Competition
Mahershala Ali,2016,Nominee,Critics' Choice TV Award,Best Guest Performer in a Drama Series
Mahershala Ali,2018,Winner,DFWFCA Award,Best Supporting Actor
Mahershala Ali,2019,Winner,DFCS Award,Best Supporting Actor
Mahershala Ali,2018,Nominee,DFCS Award,Best Supporting Actor
Mahershala Ali,2017,Nominee,DFCC,Best Actor
Mahershala Ali,2019,Nominee,Golden Carp Film Award - International,Best Performance by an Actor in a Supporting Role
Mahershala Ali,2017,Winner,Robert Altman Award,
Mahershala Ali,2018,Nominee,FFCC Award,Best Supporting Actor
Mahershala Ali,2019,Nominee,Dorian Award,Film Performance of the Year - Supporting Actor
Mahershala Ali,2019,Nominee,GAFCA Award,Best Supporting Actor
Mahershala Ali,2020,Nominee,Gold Derby Award,Ensemble of the Decade
Kenan Thompson,2020,Nominee,Primetime Emmy,Outstanding Supporting Actor in a Comedy Series
Kenan Thompson,2020,Winner,Black Reel,"Outstanding Supporting Actor, Comedy Series"
Kenan Thompson,2006,Nominee,Image Award,Outstanding Supporting Actor in a Comedy Series
Kenan Thompson,2000,Winner,Blimp Award,Favorite Television Actor
Mahershala Ali,2018,Nominee,Golden Schmoes,Best Supporting Actor of the Year
Mahershala Ali,2016,Winner,Special Gotham Jury Award,Best Ensemble Performance
Mahershala Ali,2018,Nominee,GWNYFCA Award,Best Supporting Actor
Mahershala Ali,2019,Nominee,HFCS Award,Best Supporting Actor
Mahershala Ali,2019,Winner,HFCS Award,Best Supporting Actor
Mahershala Ali,2019,Nominee,IGN Award,Best Dramatic TV Performance
Mahershala Ali,2020,Nominee,Image Award,"Outstanding Actor in a Television Movie, Limited Series or Dramatic Special"
Mahershala Ali,2016,Winner,IFJA Award,Best Supporting Actor
Mahershala Ali,2016,Winner,ICP Award,Best Supporting Actor
Mahershala Ali,2017,Nominee,ICS Award,Best Supporting Actor
Mahershala Ali,2017,Nominee,INOCA,Best Supporting Actor
Mahershala Ali,2019,Winner,IFC Award,Best Supporting Actor
Mahershala Ali,2016,Nominee,Sierra Award,Best Supporting Actor
Kenan Thompson,2020,Nominee,OFTA Television Award,Best Male Performance in a Variety Program
Kenan Thompson,2006,Nominee,Prism Award,Performance in a TV Comedy Series
Kenan Thompson,2014,Nominee,Young Hollywood Award,Cuz You're Funny
Sarah Snook,2020,Nominee,Primetime Emmy,Outstanding Supporting Actress in a Drama Series
Sarah Snook,2016,Nominee,AACTA Award,Best Lead Actress in a Television Drama
Sarah Snook,2016,Nominee,AFCA Award,Best Actress in a Supporting Role
Sarah Snook,2015,Nominee,ACCA,Best Cast Ensemble
Sarah Snook,2020,Nominee,Critics Choice Award,Best Actress in a Drama Series
Mahershala Ali,2019,Winner,LEJA Award,Best Performance by an Actor in a Supporting Role
Mahershala Ali,2017,Winner,ALFS Award,Supporting Actor of the Year
Mahershala Ali,2016,Winner,LAFCA Award,Best Supporting Actor
Mahershala Ali,2018,Winner,LAOFCS Award,Best Supporting Actor
Mahershala Ali,2016,Winner,Best Actor,
Mahershala Ali,2019,Nominee,MCFCA Award,Best Supporting Actor
Mahershala Ali,2017,Winner,NSFC Award,Best Supporting Actor
Mahershala Ali,2016,Winner,NYFCC Award,Best Supporting Actor
Mahershala Ali,2016,Winner,NYFCO Award,Best Supporting Actor
Mahershala Ali,2013,Nominee,Nexty,Cause You're Hot
Mahershala Ali,2019,Nominee,NCFCA Award,Best Supporting Actor
Mahershala Ali,2018,Winner,NTFCA Award,Best Supporting Actor
Mahershala Ali,2017,Winner,OFCC Award,Best Supporting Actor
Mahershala Ali,2018,Nominee,OAFFC Award,Best Supporting Male
Mahershala Ali,2020,Nominee,OFTA Television Award,Best Supporting Actor in a Comedy Series
Sarah Snook,2016,Nominee,FCCA Award,Best Actress - Supporting Role
Sarah Snook,2020,Nominee,Gold Derby TV Award,Drama Supporting Actress
Sarah Snook,2019,Winner,IGN Award,Best TV Ensemble
Sarah Snook,2016,Nominee,Silver Logie,Most Outstanding Actress
Sarah Snook,2017,Winner,Festival Award,Best International Actress
Sarah Snook,2020,Nominee,OFTA Television Award,Best Supporting Actress in a Drama Series
Mahershala Ali,2019,Nominee,OFCS Award,Best Supporting Actor
Mahershala Ali,2019,Winner,Chairman's Vanguard Award,
Mahershala Ali,2018,Nominee,PCC Award,Best Supporting Actor
Mahershala Ali,2018,Winner,PFCS Award,Best Actor in a Supporting Role
Mahershala Ali,2018,Nominee,SDFCS Award,Best Supporting Actor
Mahershala Ali,2018,Nominee,SFFCC Award,Best Supporting Actor
Mahershala Ali,2017,Winner,Virtuoso Award,
