finalist,year,winner_Nominee,item_award,award_description
Carole Angelo,2013,Nominee,Primetime Emmy,Outstanding Special Class - Short-Format Nonfiction Programs
Courtney Powell,2018,Nominee,Primetime Emmy,Outstanding Creative Achievement in Interactive Media within an Unscripted Program
Courtney Powell,2018,Nominee,Jury Award,Best Narrative Short
Ashley Kaplan,2013,Nominee,Primetime Emmy,Outstanding Special Class - Short-Format Nonfiction Programs
Vanessa Serrao Hiemenz,2008,Nominee,Primetime Emmy,Outstanding Special Class - Short-Format Nonfiction Programs
Charlotte Rampling,2016,Nominee,Oscar,Best Performance by an Actress in a Leading Role
Charlotte Rampling,2017,Nominee,Golden Globe,Best Performance by an Actress in a Limited Series or Motion Picture Made for Television
Charlotte Rampling,2013,Nominee,Primetime Emmy,Outstanding Supporting Actress in a Miniseries or a Movie
Charlotte Rampling,2016,Nominee,Movies for Grownups Award,Best Actress
Charlotte Rampling,2014,Nominee,Saturn Award,Best Guest Performance in a Television Series
Charlotte Rampling,2016,Winner,EDA Special Mention Award,Actress Defying Age and Ageism
Charlotte Rampling,2012,Nominee,AACTA Award,Best Lead Actress
Charlotte Rampling,2012,Nominee,AFCA Award,Best Actress
Charlotte Rampling,2019,Winner,Honorary Golden Berlin Bear,
Charlotte Rampling,2012,Nominee,Bodil,Best Supporting Actress (Bedste kvindelige birolle)
Charlotte Rampling,2015,Winner,BSFC Award,Best Actress
Charlotte Rampling,2015,Nominee,British Independent Film Award,Best Actress
Charlotte Rampling,2016,Nominee,Critics Choice Award,Best Actress
Charlotte Rampling,2015,Nominee,CFCA Award,Best Actress
Charlotte Rampling,2016,Nominee,Chlotrudis Award,Best Actress
Charlotte Rampling,2001,Winner,Special Recognition,
Charlotte Rampling,2006,Nominee,César,Best Supporting Actress (Meilleure actrice dans un second rôle)
Charlotte Rampling,2015,Nominee,DFWFCA Award,Best Actress
Charlotte Rampling,2018,Winner,Dublin Film Critics Award,Best Actress
Charlotte Rampling,2015,Winner,Best Performance in a British Feature Film,
Charlotte Rampling,2015,Winner,Lifetime Achievement Award,
Charlotte Rampling,2016,Nominee,Evening Standard British Film Award,Best Actress
Charlotte Rampling,1988,Winner,International Fantasy Film Award,Best Actress
Charlotte Rampling,2019,Nominee,Golden Carp Film Award - International,Best Performance by an Actress in a Leading Role
Charlotte Rampling,2015,Nominee,FFCC Award,Best Actress
Charlotte Rampling,2016,Nominee,Dorian Award,Film Performance of the Year - Actress
Charlotte Rampling,2016,Nominee,GAFCA Award,Best Actress
Charlotte Rampling,2016,Nominee,Gold Derby Award,Lead Actress
Charlotte Rampling,2010,Nominee,Gotham Independent Film Award,Best Ensemble Performance
Charlotte Rampling,2015,Nominee,IFJA Award,Best Actress
Charlotte Rampling,2015,Winner,ICP Award,Best Lead Actress
Charlotte Rampling,2016,Nominee,ICS Award,Best Actress
Charlotte Rampling,2016,Nominee,INOCA,Best Actress
Charlotte Rampling,2016,Nominee,IFC Award,Best Actress
Charlotte Rampling,2016,Nominee,IFTA Award,Best International Actress
Charlotte Rampling,1987,Winner,Joseph Plateau Award,Best Belgian Actress
Charlotte Rampling,2012,Winner,Excellence Award,
Charlotte Rampling,2016,Winner,ALFS Award,Actress of the Year
Charlotte Rampling,2015,Winner,LAFCA Award,Best Actress
Charlotte Rampling,2016,Winner,NSFC Award,Best Actress
Charlotte Rampling,2016,Nominee,NCFCA Award,Best Actress
Charlotte Rampling,2016,Nominee,OFTA Film Award,Best Actress
Charlotte Rampling,2015,Nominee,OFCS Award,Best Actress
Charlotte Rampling,2015,Nominee,SDFCS Award,Best Actress
Charlotte Rampling,2015,Nominee,SFFCC Award,Best Actress
Charlotte Rampling,2016,Nominee,Sant Jordi,Best Actress in a Foreign Film (Mejor Actriz en Película Extranjera)
Charlotte Rampling,2016,Nominee,Satellite Award,Best Actress in a Motion Picture
Charlotte Rampling,2013,Nominee,Actor,Outstanding Performance by a Female Actor in a Television Movie or Miniseries
Charlotte Rampling,2003,Nominee,Seattle Film Critics Award,Best Actress
Charlotte Rampling,2008,Winner,Lifetime Achievement Award,
Charlotte Rampling,2005,Winner,Taormina Arte Award,
Charlotte Rampling,2005,Winner,Silver Medallion Award,
Charlotte Rampling,2015,Winner,Best Actress,
Charlotte Rampling,2017,Winner,Volpi Cup,Best Actress
Charlotte Rampling,2015,Winner,VVFP Award,Best Actress
Charlotte Rampling,2015,Winner,WFCC Award,Best Screen Couple
Charlotte Rampling,2015,Winner,WFTV Award,Best Performance
Punam Patel,2019,Nominee,Primetime Emmy,Outstanding Actress in a Short Form Comedy or Drama Series
