finalist,year,winner_Nominee,item_award,award_description
Kathleen Williams,2014,Nominee,Primetime Emmy,Outstanding Short-Format Nonfiction Program
Nick Poppy,2012,Nominee,Primetime Emmy,Outstanding Special Class - Short-Format Live-Action Entertainment Programs
Nick Poppy,2020,Winner,New York Emmy,CRIME: PROGRAM FEATURE/SEGMENT/SPECIAL
Nick Poppy,2009,Winner,Honoree,Online Film & Video - Comedy: Long Form or Series
Uma Thurman,1995,Nominee,Oscar,Best Actress in a Supporting Role
Uma Thurman,2005,Nominee,Golden Globe,Best Performance by an Actress in a Motion Picture - Drama
Uma Thurman,2012,Nominee,Primetime Emmy,Outstanding Guest Actress in a Drama Series
Uma Thurman,2004,Nominee,BAFTA Film Award,Best Performance by an Actress in a Leading Role
Uma Thurman,2015,Nominee,Felix,Best Supporting Actress
Uma Thurman,2005,Nominee,Saturn Award,Best Actress
Uma Thurman,2006,Winner,EDA Special Mention Award,Actress Most in Need of a New Agent
Uma Thurman,1995,Nominee,American Comedy Award,Funniest Actress in a Motion Picture (Leading Role)
Uma Thurman,2004,Nominee,ACCA,Best Actress in a Leading Role
Uma Thurman,2014,Winner,Bambi,Film - International
Uma Thurman,2019,Winner,Festival Award,Jury Award of Recognition
Uma Thurman,1998,Winner,Blockbuster Entertainment Award,Favorite Actress - Sci-Fi
Uma Thurman,2014,Nominee,Bodil,Best Supporting Actress (Bedste kvindelige birolle)
Uma Thurman,2009,Winner,Festival Prize,Best Actress
Uma Thurman,2005,Nominee,Critics Choice Award,Best Actress
Uma Thurman,1995,Nominee,CFCA Award,Best Supporting Actress
Uma Thurman,2009,Winner,Career Achievement Award,
Uma Thurman,1995,Nominee,Chlotrudis Award,Best Supporting Actress
Uma Thurman,2015,Nominee,CinEuphoria,Best Supporting Actress - International Competition
Uma Thurman,1993,Winner,"Jury ""Coup de Chapeau""",
Uma Thurman,1995,Nominee,DFWFCA Award,Best Supporting Actress
Uma Thurman,2015,Nominee,Robert,Best Supporting Actress (Årets kvindelige birolle)
Uma Thurman,2019,Winner,Special David,
Uma Thurman,2012,Winner,Woman of the Year,
Uma Thurman,2005,Nominee,Empire Award,Best Actress
Uma Thurman,2019,Nominee,Golden Carp Film Award - International,Best Ensemble Performance
Uma Thurman,2002,Nominee,Independent Spirit Award,Best Supporting Female
Uma Thurman,2005,Nominee,Gold Derby Award,Lead Actress
Uma Thurman,2004,Winner,Golden Schmoes,Best Actress of the Year
Uma Thurman,2001,Winner,Actor Award,
Uma Thurman,2005,Nominee,ICS Award,Best Actress
Uma Thurman,2014,Nominee,Halfway Award,Best Supporting Actress
Uma Thurman,2004,Nominee,Audience Award,Best International Actress
Uma Thurman,2005,Nominee,IOMA,Best Actress (Miglior attrice protagonista)
Uma Thurman,2015,Nominee,Jupiter Award,Best International Actress
Uma Thurman,1998,Nominee,Blimp Award,Favorite Movie Actress
Uma Thurman,2004,Nominee,Sierra Award,Best Actress
Uma Thurman,2007,Nominee,MTV Movie Award,Best Fight
Uma Thurman,2004,Nominee,MTV Movie Award,Funniest American in Japan (Gringo/a más Gracioso en Japón)
Uma Thurman,1995,Nominee,NSFC Award,Best Supporting Actress
Uma Thurman,1994,Nominee,NYFCC Award,Best Supporting Actress
Uma Thurman,2004,Winner,NRJ Ciné Award,Best Look (Meilleur Look)
Uma Thurman,2004,Nominee,OFTA Film Award,Best Actress
Uma Thurman,2005,Nominee,OFCS Award,Best Actress
Uma Thurman,2006,Winner,Knight of the Order of Arts and Letters,
Uma Thurman,2007,Nominee,People's Choice Award,Favorite Female Action Star
Uma Thurman,1999,Nominee,Razzie Award,Worst Actress
Uma Thurman,2014,Nominee,Georges Award,Best Foreign Actress of the Decade
Uma Thurman,2005,Nominee,Golden Satellite Award,"Best Actress in a Motion Picture, Drama"
Uma Thurman,2003,Nominee,Actor,Outstanding Performance by a Female Actor in a Television Movie or Miniseries
Uma Thurman,2014,Winner,Achievement Award,
Uma Thurman,2004,Nominee,Teen Choice Award,Choice Movie Actress - Drama/Action Adventure
Uma Thurman,1998,Nominee,Stinker Award,Worst On-Screen Couple
Uma Thurman,2014,Nominee,VVFP Award,Best Supporting Actress
Uma Thurman,2014,Winner,Mommie Dearest Worst Screen Mom of the Year Award,
Uma Thurman,2009,Nominee,WIN Award,Outstanding Actress Mini-Series / Made for Television Movie
