,finalist,year,winner_Nominee,item_award,award_description
0,Kathleen Williams,2014,Nominee,Primetime Emmy,Outstanding Short-Format Nonfiction Program
1,Nick Poppy,2012,Nominee,Primetime Emmy,Outstanding Special Class - Short-Format Live-Action Entertainment Programs
2,Nick Poppy,2020,Winner,New York Emmy,CRIME: PROGRAM FEATURE/SEGMENT/SPECIAL
3,Nick Poppy,2009,Winner,Honoree,Online Film & Video - Comedy: Long Form or Series
4,Uma Thurman,1995,Nominee,Oscar,Best Actress in a Supporting Role
5,Uma Thurman,2005,Nominee,Golden Globe,Best Performance by an Actress in a Motion Picture - Drama
6,Uma Thurman,2012,Nominee,Primetime Emmy,Outstanding Guest Actress in a Drama Series
7,Uma Thurman,2004,Nominee,BAFTA Film Award,Best Performance by an Actress in a Leading Role
8,Uma Thurman,2015,Nominee,Felix,Best Supporting Actress
9,Uma Thurman,2005,Nominee,Saturn Award,Best Actress
10,Uma Thurman,2006,Winner,EDA Special Mention Award,Actress Most in Need of a New Agent
11,Uma Thurman,1995,Nominee,American Comedy Award,Funniest Actress in a Motion Picture (Leading Role)
12,Uma Thurman,2004,Nominee,ACCA,Best Actress in a Leading Role
13,Uma Thurman,2014,Winner,Bambi,Film - International
14,Uma Thurman,2019,Winner,Festival Award,Jury Award of Recognition
15,Uma Thurman,1998,Winner,Blockbuster Entertainment Award,Favorite Actress - Sci-Fi
16,Uma Thurman,2014,Nominee,Bodil,Best Supporting Actress (Bedste kvindelige birolle)
17,Uma Thurman,2009,Winner,Festival Prize,Best Actress
18,Uma Thurman,2005,Nominee,Critics Choice Award,Best Actress
19,Uma Thurman,1995,Nominee,CFCA Award,Best Supporting Actress
20,Uma Thurman,2009,Winner,Career Achievement Award,
21,Uma Thurman,1995,Nominee,Chlotrudis Award,Best Supporting Actress
22,Uma Thurman,2015,Nominee,CinEuphoria,Best Supporting Actress - International Competition
23,Uma Thurman,1993,Winner,"Jury ""Coup de Chapeau""",
24,Uma Thurman,1995,Nominee,DFWFCA Award,Best Supporting Actress
25,Uma Thurman,2015,Nominee,Robert,Best Supporting Actress (Årets kvindelige birolle)
26,Uma Thurman,2019,Winner,Special David,
27,Uma Thurman,2012,Winner,Woman of the Year,
28,Uma Thurman,2005,Nominee,Empire Award,Best Actress
29,Uma Thurman,2019,Nominee,Golden Carp Film Award - International,Best Ensemble Performance
30,Uma Thurman,2002,Nominee,Independent Spirit Award,Best Supporting Female
31,Uma Thurman,2005,Nominee,Gold Derby Award,Lead Actress
32,Uma Thurman,2004,Winner,Golden Schmoes,Best Actress of the Year
33,Uma Thurman,2001,Winner,Actor Award,
34,Uma Thurman,2005,Nominee,ICS Award,Best Actress
35,Uma Thurman,2014,Nominee,Halfway Award,Best Supporting Actress
36,Uma Thurman,2004,Nominee,Audience Award,Best International Actress
37,Uma Thurman,2005,Nominee,IOMA,Best Actress (Miglior attrice protagonista)
38,Uma Thurman,2015,Nominee,Jupiter Award,Best International Actress
39,Uma Thurman,1998,Nominee,Blimp Award,Favorite Movie Actress
40,Uma Thurman,2004,Nominee,Sierra Award,Best Actress
41,Uma Thurman,2007,Nominee,MTV Movie Award,Best Fight
42,Uma Thurman,2004,Nominee,MTV Movie Award,Funniest American in Japan (Gringo/a más Gracioso en Japón)
43,Uma Thurman,1995,Nominee,NSFC Award,Best Supporting Actress
44,Uma Thurman,1994,Nominee,NYFCC Award,Best Supporting Actress
45,Uma Thurman,2004,Winner,NRJ Ciné Award,Best Look (Meilleur Look)
46,Uma Thurman,2004,Nominee,OFTA Film Award,Best Actress
