,rating_total,rating_avg,finalist,movie_description,cast,language,style,country,company,film_location
0,"1,018",7.6,The Buddha (TV Movie 2010) - IMDb,"
                    After 400 BC, a new philosophy was born in South east Asia, generated from the ideas of Buddha, a mysterious Prince from Nepal who gained enlightenment while he sat under a large, shapely fig tree.
            "," Richard Gere
, Blair Brown
, The Dalai Lama
, Mark Epstein
, Jane Hirshfield
, William Stanley Merwin
, D. Max Moerman
, Robert Thurman
, Kevin Trainor
",English,"[' Documentary', ' ', None, None, None]",English, David Grubin Productions,
1,510,7.7,Wanda Sykes: I'ma Be Me (2009) - IMDb,"
                    Emmy(R)-winning actress/comic Wanda Sykes returns to HBO for her second full-length stand-up special. Taped at the Warner Theatre in Washington, D.C., this riotous performance features Wanda's hilarious takes on a variety of topics.
            "," Wanda Sykes
",USA,"[' Comedy', ' ', None, None, None]",USA, Sykes Entertainment,"Warner Theater - 513 13th Street, N.W., Washington, District of Columbia, USA"
2,141,6.5,Hope for Haiti Now: A Global Benefit for Earthquake Relief (2010) - IMDb,"
                    Telethon in support of relief organizations dedicated to assisting victims of the earthquake that struck Haiti on January 12, 2010.
            "," Ben Affleck
, Christina Aguilera
, Muhammad Ali
, Jennifer Aniston
, Ellen Barkin
, Sacha Baron Cohen
, Drew Barrymore
, Garcelle Beauvais
, Halle Berry
, Beyoncé
, Jack Black
, Mary J. Blige
, Emily Blunt
, Bono
, Russell Brand
",English,"[' Documentary', ' ', None, None, None]",English, MTV Networks,
3,440,8.1,An Apology to Elephants (2013) - IMDb,"
                    Narrated by "," Lily Tomlin
, Pat Derby
, Colleen Kinzley
, Jeff Kinzley
, Ross MacPhee
, Rose McCoy
, Cynthia Moss
, Joel Parrott
, Katy Payne
, Joyce Poole
, Mel Richardson
, Ed Stewart
",USA,"[' Documentary', ' ', None, None, None]",USA, HBO Documentary Films,
4,"1,102",6.9,Bill Maher... But I'm Not Wrong (2010) - IMDb,"
                    The ninth HBO stand-up comedy special by Bill Maher.
            "," Maureen MacDonald
, Bill Maher
, Cait Mathis
",USA,"[' Comedy', ' ', None, None, None]",USA, Bill Maher Productions,
5,"1,656",7.8,Robot Chicken: DC Comics Special (TV Short 2012) - IMDb,"
                    The Robot Chicken DC Comics Special brings you the awesomeness of the DC Comics universe of characters as only Robot Chicken can, with amazing guest stars and the stop-motion sketch comedy you've come to love.
            "," Abraham Benrubi
, Alex Borstein
, Nathan Fillion
, Megan Fox
, Clare Grant
, Seth Green
, Neil Patrick Harris
, Breckin Meyer
, Alfred Molina
, Aaron Paul
, Paul Reubens
, Tom Root
, Kevin Shinick
, Matthew Senreich
, Tara Strong
",English,"[' Animation', ' ', ' Comedy', ' Sci-Fi', None]",English, DC Entertainment,
6,"135,232",8.6,Archer (TV Series 2009– ) - IMDb,"
                    Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.
            "," H. Jon Benjamin
, Judy Greer
, Amber Nash
, Chris Parnell
, Aisha Tyler
, Jessica Walter
, Lucky Yates
, Adam Reed
",USA,"[' Animation', ' Action', ' Comedy', None, None]",USA, Floyd County Productions,"Atlanta, Georgia, USA"
7,48,6.9,Mel Brooks Strikes Back! (2012) - IMDb,"
                    Appearing onstage with Alan Yentob, creative director for the BBC, at the Geffen Theater in Westwood, Cal. before a live audience, Brooks reviews his career as a writer, director, actor, ...
                    "," Mel Brooks
, Alan Yentob
",English,"[' Comedy', ' ', None, None, None]",English, Brooksfilms, Brooksfilms
8,942,6.4,Patton Oswalt: I Love Everything (2020) - IMDb,"
                    Turning 50. Finding love again. Buying a house. Experiencing existential dread at Denny's. Life comes at Patton Oswalt fast in this stand-up special.
            "," Patton Oswalt
, Bob Rubin
",English,"[' Comedy', ' ', None, None, None]",English, 10K,
9,24,7.0,Doctor Who: The Runaway (2019) - IMDb,"
                    Jodie Whittaker voices an animated version of the Thirteenth Doctor, who recruits the viewer as her unlikely assistant in a race against time to return a strange and potentially dangerous creature called Volta to his home planet.
            "," Richard Elfyn
, Maria McClurg
, Jodie Whittaker
",UK," Animation, , Action, Adventure, Sci-Fi",UK, BBC VR Hub,
10,"1,939",7.5,Seth Meyers: Lobby Baby (2019) - IMDb,"
                    SNL alumnus and subversive master of late-night TV Seth Meyers comes out from behind the desk to share some lighthearted stories from his own life.
            "," Jonathan Chacko
, Seth Meyers
",English,"[' Comedy', ' ', None, None, None]",English, Irwin Entertainment,
11,821,7.1,Saturday Night Live: Weekend Update Summer Edition (TV Series 2008– ) - IMDb,"
                    ""Saturday Night Live's"" satirical news segment expanded into primetime with three pre-election Thursday night specials.
            "," Kenan Thompson
, Seth Meyers
, Fred Armisen
, Bill Hader
, Jason Sudeikis
, Darrell Hammond
, Kristen Wiig
, Amy Poehler
",USA,"[' Comedy', ' ', None, None, None]",USA, Broadway Video,
12,37,6.8,Back to the Moon (2018) - IMDb,"
                    A charming illusionist, an adventurous queen of hearts and an evil green man journey through early cinema, film magic and love. Back to the Moon celebrates the artistry of film director and magician Georges Méliès.
            ",,UK,"[' Animation', ' Short', None, None, None]",UK, Google Spotlight Stories,
13,"178,176",8.5,The Punisher (TV Series 2017–2019) - IMDb,"
                    After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them.
            "," Jon Bernthal
, Amber Rose Revah
, Ben Barnes
, Jason R. Moore
, Ebon Moss-Bachrach
, Floriana Lima
, Josh Stewart
, Giorgia Whigham
",USA,"[' Action', ' Crime', ' Drama', ' Thriller', None]",USA, ABC Studios,"Brooklyn, New York City, New York, USA"
