rating_total,rating_avg,finalist,movie_description,cast,language,style,country,company,film_location
353,6.4,The Great Houdini (TV Movie 1976) - IMDb,"
                    A biography of the renowned escape artist Harry Houdini, examining his fascination with the occult and his promise to his wife on her deathbed that he would speak from the beyond.
            "," Paul Michael Glaser
, Sally Struthers
, Ruth Gordon
, Vivian Vance
, Adrienne Barbeau
, Bill Bixby
, Jack Carter
, Peter Cushing
, Nina Foch
, Wilfrid Hyde-White
, Geoffrey Lewis
, Maureen O'Sullivan
, Clive Revill
, Barbara Rhoades
, Marilyn Brodnick
",English,"[' Biography', ' ', None, None, None]",English, ABC Circle Films,
68,7.0,Judge Horton and the Scottsboro Boys (TV Movie 1976) - IMDb,"
                    In 1930s Alabama, nine young black men are accused of raping two white women. The judge in the case, unlike the rest of the town, comes to believe that the boys are innocent, and against ...
                    "," Arthur Hill
, Ellen Barber
, Paul Benjamin
, Larry Butts
, Rony Clanton
, James L. Day
, Robert Fields
, David Harris
, Anthony Heald
, Ken Kercheval
, Susan Lederer
, Tom Ligon
, Vera Miles
, Sonny Shroyer
, Barry Snider
",English,"[' Drama', ' ', None, None, None]",English, Tomorrow Entertainment,
904,6.4,21 Hours at Munich (TV Movie 1976) - IMDb,"
                    A dramatization of the incident in 1972 when Arab terrorists broke into the Olympic compound in Munich and murdered eleven Israeli athletes.
            "," William Holden
, Shirley Knight
, Franco Nero
, Anthony Quayle
, Richard Basehart
, Noel Willman
, Georg Marischka
, Else Quecke
, Michael Degen
, Djamchid 'Jim' Soheili
, Walter Kohut
, Jan Niklas
, Ernest Lenart
, Osman Ragheb
, James Hurley
",English,"[' Drama', ' History', ' Sport', ' Thriller', None]",English, Moonlight Productions,
15,6.6,The CBS Festival of Lively Arts for Young People (TV Series 1973–1981) - IMDb,"
                    "," Michael Tilson Thomas
",English,"[' Family', ' ', None, None, None]",English, CBS Television Network,
37,6.4,The 29th Annual Primetime Emmy Awards (1977) - IMDb,"
                    "," Jack Albertson
, Alan Alda
, Steve Allen
, Bea Arthur
, Edward Asner
, Milton Berle
, Robert Blake
, William Blinn
, Beulah Bondi
, James L. Brooks
, Carol Burnett
, Allan Burns
, Sid Caesar
, Lynda Carter
, Susan Clark
",English,"[' ', ' ', None, None, None]",English, Academy of Television Arts and Sciences (ATAS),
28,7.6,The 32nd Annual Tony Awards (1978) - IMDb,"
                    "," Trini Alvarado
, Claudia Asbury
, Edward Asner
, Emanuel Azenberg
, Lauren Bacall
, Mikhail Baryshnikov
, Sandahl Bergman
, Irving Berlin
, Melvin Bernhardt
, Ken Billington
, Susan Birkenhead
, Steve Boockvor
, Eddie Bracken
, Arvin Brown
, Zack Brown
",English,"[' Family', ' ', None, None, None]",English,IMDbPro,
152,7.9,AFI Life Achievement Award: A Tribute to Henry Fonda (1978) - IMDb,"
                    Henry Fonda is honored for his career in theater, television and film by friends, family, and co-workers.
            "," Henry Fonda
, Jane Alexander
, Lucille Ball
, Richard Burton
, Bette Davis
, Kirk Douglas
, Jane Fonda
, Peter Fonda
, James Garner
, Lillian Gish
, Charlton Heston
, Ron Howard
, Jack Lemmon
, Fred MacMurray
, Marsha Mason
",English,"[' Documentary', ' ', None, None, None]",English, American Film Institute (AFI),
387,9.4,AFI Life Achievement Award: A Tribute to Bette Davis (1977) - IMDb,"
                    Jane Fonda hosts the AFI Life Achievement Awards ceremony honoring Bette Davis featuring clips from her films and the reminiscences of many co-workers.
            "," Bette Davis
, Olivia de Havilland
, Peter Falk
, Mia Farrow
, Geraldine Fitzgerald
, Henry Fonda
, Jane Fonda
, Lee Grant
, Lillian Hellman
, Paul Henreid
, Celeste Holm
, Joseph L. Mankiewicz
, Martin Manulis
, Liza Minnelli
, George Stevens Jr.
",English,"[' Documentary', ' ', None, None, None]",English, American Film Institute (AFI),
,,The Mind (TV Series 1988– ) - IMDb,"
                    A documentary series about brain science.
            ",,English,"[' Documentary', None, None, None, None]",English, British Broadcasting Corporation (BBC), British Broadcasting Corporation (BBC)
69,8.7,"""The Metropolitan Opera Presents"" Il trovatore (TV Episode 1988) - IMDb","
                    Troubadour Manrico, kidnapped and raised by gypsy Azucena, courts Leonora and she loves him. Count di Luna wants Leonora, vows to destroy Manrico, not knowing they are actually brothers.
            "," James Levine
, Éva Marton
, Dolora Zajick
, Luciano Pavarotti
, Sherrill Milnes
, Jeffrey Wells
, Loretta Di Franco
, Mark Baker
, John Bills
, Ray Morrison
, Metropolitan Opera Orchestra
, Metropolitan Opera Chorus
",Italian,"[' Music', None, None, None, None]",Italian, The Metropolitan Opera,
22,8.1,The 42nd Annual Tony Awards (1988) - IMDb,"
                    Tony Award is the popular name of award, annually awarded for achievements in area of the American theatre, including a musical theatre. Complete official name of bonus - ""Antoinette Perry Award for Excellence in Theatre"".
            "," Angela Lansbury
, Kimberleigh Aarn
, Joan Allen
, Scott Bakula
, Martin Benson
, Andrew Bridge
, Sarah Brightman
, Matthew Broderick
, Terry Burrell
, L. Scott Caldwell
, David Carroll
, Nell Carter
, Richard Chamberlain
, Michael Crawford
, Jim Dale
",USA,"[' Family', ' ', None, None, None]",USA,IMDbPro,"Minskoff Theatre, Manhattan, New York City, New York, USA"
,,Destined to Live (TV Movie 1988) - IMDb,"
                    "," Jill Eikenberry
, Michael Tucker
",English,"[' Documentary', None, None, None, None]",English,IMDbPro,
13,7.0,Cirque du Soleil: The Magic Circus (TV Movie 1989) - IMDb,"
                    The grandeur and breathtaking spectacle of a Cirque du Soleil show has been widely recognised for years, but the individual experience of participating in these massive productions has gone...
                    "," Cirque du Soleil
",,"['Anonymous', None, None, None, None]",See more, Les Productions Télémagik Inc., Les Productions Télémagik Inc.
206,5.6,The 61st Annual Academy Awards (1989) - IMDb,"
                    Award of the American academy of cinematographic arts and sciences, from 1940th known as ""Oscar"", - American film award created in 1929 and traditionally handed to the figures of ...
                    "," James Acheson
, Harry Andrews
, Anne Archer
, Army Archerd
, Hal Ashby
, Bille August
, Lucille Ball
, Drew Barrymore
, Judith Barsi
, Ronald Bass
, Candice Bergen
, Jacqueline Bisset
, Peter Biziou
, Eileen Bowman
, Beau Bridges
",English,"[' News', ' ', None, None, None]",English, Academy of Motion Picture Arts and Sciences (AMPAS),
643,7.6,"Rich Man, Poor Man - Book II (TV Series 1976–1977) - IMDb","
                    This is the sequel to the mini-series, RICH MAN, POOR MAN. It begins with Rudy Jordache apprehending the man who killed his brother, Falconetti. He then also takes in his nephew, Wesley. He...
                    "," Peter Strauss
, Gregg Henry
, James Carroll Jordan
, Susan Sullivan
, William Smith
, Peter Haskell
, Penny Peyser
, Kimberly Beck
, Cassie Yates
, Kay Lenz
, Laraine Stephens
, Peter Donat
",English,"[' Drama', ' ', None, None, None]",English, Universal Television,
7,7.1,Men (TV Series 1989– ) - IMDb,"
                    A group of guys is devasted by a friend's death so include his younger cop brother Danny in their poker games. Attorney Charlie, reporter Paul, and surgeon Steven bond over the loss and various life experiences.
            "," Tom O'Brien
, Ving Rhames
, Saul Rubinek
, Ted Wass
, Kimberley Pistone
",English,"[' Drama', None, None, None, None]",English,IMDbPro,
110,8.0,Unsub (TV Series 1989– ) - IMDb,"
                    A special team of FBI forensics experts investigates serial murderers and other unsolved violent crimes.
            "," David Soul
, Jennifer Hetrick
, Joe Maruzzo
, Richard Kind
, Kent McCord
, Andrea Mann
, M. Emmet Walsh
",English,"[' Mystery', ' ', None, None, None]",English, Stephen J. Cannell Productions,
46,5.9,Knightwatch (TV Series 1988–1989) - IMDb,"
                    A group of youths come together to form the Knights, a team of vigilantes who fight for justice.
            "," Benjamin Bratt
, Calvin Levels
, Don Franklin
, Paris Vaughan
, Joshua Cadman
, Ava Haddad
, Samantha Mathis
, Harley Jane Kozak
, Catherine Bruhier
",English,"[' Crime', ' ', None, None, None]",English, MGM Television,
,,And David Wept (TV Movie 1971) - IMDb,"
                    "," Ara Berberian
, Rosalind Elias
, Daniel Lewis
, Sherrill Milnes
, Jennifer Muller
, Aaron Osborne
",English,"[' Musical', ' ', None, None, None]",English, CBS, CBS
,,A Pavarotti Celebration: Scenes from La Bohème (1988) - IMDb,"
                    "," Fiamma Izzo d'Amico
, Luciano Pavarotti
, Rico Saccani
",English,"[' Music', ' ', None, None, None]",English,IMDbPro,
37,6.7,This Is the Life (TV Series 1952–1988) - IMDb,"
                    Long-running religious series featuring dramatizations of contemporary problems and how they were resolved using a Christian solution.
            "," Nelson Leigh
, Kathy Garver
, John Bryant
, Mary Ellen Kay
, Paul Carr
, Yale Summers
, Leslie Wing
, Richard Gates
, Robert Rockwell
, Burr DeBenning
, Joan Pringle
, Henry Darrow
, Lyle Bettger
, James Hong
, Barry Truex
, Jan Arvan
, Walter Brooke
, Ron Masak
, Lynn Ann Leveridge
, Joel Colodner
, Cheryl Waters
",English,"[' Drama', ' ', None, None, None]",English, International Lutheran Laymen's League,
30,7.5,Dinah's Place (TV Series 1970–1974) - IMDb,"
                    Talk and cooking with Dinah Shore and guests, including Frank Sinatra.
            "," Dinah Shore
",English,"[' Talk-Show', None, None, None, None]",English, Henry Jaffe Enterprises Inc.,
